epoch,epochSeconds,lossTrain,lossValid,accValid
1,1862.191959367,3.710489,3.6120298,0.25714308
6,2000.388939807,3.5201359,3.4847217,8.285712e-2
11,2024.022080561,3.4907696,3.4624577,0.12571424
16,2035.64181167,3.464346,3.4688187,8.571426e-2
21,2043.204297728,3.4627187,3.5075467,0.11714281
