epoch,epochSeconds,lossTrain,lossValid,accValid
1,1586.102778833,3.0772183,2.8377402,0.19714296
6,1758.993960573,2.4897392,2.5515301,0.12571424
11,1770.727472243,2.2502928,2.4284685,0.12857139
16,1782.301731357,2.1646097,2.320003,0.11714281
21,1805.051273049,2.180085,2.33664,0.12857139
