epoch,epochSeconds,lossTrain,lossValid,accValid
1,1637.631285204,3.6049037,3.4171798,0.16857147
6,1834.556243645,2.60691,2.7089407,0.12571424
11,1851.328199388,2.3105018,2.4896405,0.11142853
16,1863.213629142,2.1778955,2.391124,0.102857105
21,1878.506072045,2.1241276,2.3286767,9.428568e-2
26,1650.600957612,2.0943046,2.319788,0.11142853
31,1668.130880636,2.0625806,2.3369086,0.11142853
36,1717.221963327,2.0234563,2.3311467,0.10571425
41,1709.431020932,2.0216987,2.3849065,0.11714281

